SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 20.6 MG of Magnesium, Mg, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 22.3 MG of Magnesium, Mg, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 19.1 MG of Magnesium, Mg, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 7.41 MG of Magnesium, Mg, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 6.95 MG of Magnesium, Mg, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 7.63 MG of Magnesium, Mg, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 7.77 MG of Magnesium, Mg, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 6.47 MG of Magnesium, Mg, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 6.83 MG of Magnesium, Mg, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 50.75 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 55.3 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 96.7 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 53.5333 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 79.7 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 92.7 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 39.4 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 9.89 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 10.5667 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 34.2 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 12.0 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 9.33 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 9.27 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 111.5 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 25.2 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 42.7 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 60.5333 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 94.6 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 94.7 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 92.5 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 39.3 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 10.9 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 30.2 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 14.7 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 11.1 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 104.0 MG of Phosphorus, P, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 25.1 MG of Phosphorus, P, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 170.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 144.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 153.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 191.3333 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 155.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 172.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 122.0 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 65.6 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 16.8 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 74.0 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 14.7 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 12.1 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 12.3 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 13.75 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 17.6333 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 144.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 200.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 154.5 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 152.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 175.0 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 124.0 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 68.2 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 71.3 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 18.0 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 13.2 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 13.75 MG of Potassium, K, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 19.75 MG of Potassium, K, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 8.74 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 25.3 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 53.0 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 2.3667 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 51.0 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 58.5 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 31.6 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 77.4 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 67.9667 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 53.8 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 59.7 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 44.1 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 51.4 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 66.35 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 57.6333 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 24.0 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.5783 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 51.1 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 49.8 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 57.8 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 31.9 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 72.9 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 52.3 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 56.0 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 52.8 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 64.65 MG of Sodium, Na, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 57.15 MG of Sodium, Na, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.3325 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.326 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.289 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.3877 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.294 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.333 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.276 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.05 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0736 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0619 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.851 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.733 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0574 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0731 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0783 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.276 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.382 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.2795 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.28 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.325 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.273 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0648 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0529 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0837 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0673 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0698 MG of Zinc, Zn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0877 MG of Zinc, Zn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.12 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.105 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.105 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.135 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.113 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0975 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0995 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0172 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0215 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0252 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0245 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0134 MG of Copper, Cu, 
